Id,SalePrice
1461,139000
1462,171000
1463,145000
1464,171000
1465,275000
1466,140000
1467,136000
1468,140000
1469,180000
1470,90000
1471,180000
1472,140000
1473,145000
1474,171000
1475,170000
1476,315000
1477,275000
1478,315000
1479,275000
1480,315000
1481,275000
1482,275000
1483,140000
1484,180000
1485,180000
1486,180000
1487,275000
1488,275000
1489,180000
1490,140000
1491,180000
1492,145000
1493,171000
1494,275000
1495,275000
1496,180000
1497,180000
1498,180000
1499,180000
1500,140000
1501,140000
1502,180000
1503,275000
1504,275000
1505,180000
1506,171000
1507,140000
1508,140000
1509,171000
1510,145000
1511,145000
1512,139000
1513,140000
1514,139000
1515,135000
1516,171000
1517,110000
1518,145000
1519,180000
1520,145000
1521,145000
1522,140000
1523,90000
1524,135000
1525,139000
1526,145000
1527,81000
1528,110000
1529,139000
1530,136000
1531,90000
1532,135000
1533,135000
1534,136000
1535,135000
1536,139000
1537,35311
1538,168000
1539,168000
1540,60000
1541,136000
1542,139000
1543,242000
1544,81000
1545,136000
1546,171000
1547,139000
1548,136000
1549,135000
1550,145000
1551,140000
1552,90000
1553,110000
1554,110000
1555,145000
1556,60000
1557,115000
1558,140000
1559,87000
1560,135000
1561,84000
1562,135000
1563,145000
1564,145000
1565,145000
1566,242000
1567,80000
1568,140000
1569,81000
1570,136000
1571,97000
1572,135000
1573,180000
1574,60000
1575,180000
1576,136000
1577,180000
1578,110000
1579,145000
1580,180000
1581,127000
1582,139000
1583,275000
1584,180000
1585,140000
1586,37900
1587,139000
1588,139000
1589,90000
1590,171000
1591,90000
1592,139000
1593,171000
1594,97000
1595,67000
1596,170000
1597,139000
1598,170000
1599,227000
1600,275000
1601,60000
1602,140000
1603,81000
1604,275000
1605,275000
1606,136000
1607,140000
1608,180000
1609,180000
1610,145000
1611,145000
1612,145000
1613,145000
1614,139000
1615,81000
1616,80000
1617,97000
1618,135000
1619,135000
1620,67000
1621,145000
1622,145000
1623,275000
1624,140000
1625,140000
1626,140000
1627,140000
1628,275000
1629,180000
1630,275000
1631,275000
1632,275000
1633,180000
1634,140000
1635,140000
1636,140000
1637,139000
1638,170000
1639,171000
1640,242000
1641,140000
1642,180000
1643,275000
1644,275000
1645,135000
1646,171000
1647,180000
1648,145000
1649,135000
1650,97000
1651,81000
1652,140000
1653,171000
1654,140000
1655,180000
1656,140000
1657,140000
1658,140000
1659,170000
1660,135000
1661,315000
1662,315000
1663,315000
1664,160000
1665,315000
1666,275000
1667,275000
1668,315000
1669,315000
1670,315000
1671,180000
1672,315000
1673,275000
1674,275000
1675,140000
1676,140000
1677,180000
1678,160000
1679,275000
1680,315000
1681,315000
1682,275000
1683,180000
1684,180000
1685,140000
1686,180000
1687,180000
1688,180000
1689,180000
1690,180000
1691,180000
1692,275000
1693,180000
1694,140000
1695,180000
1696,180000
1697,170000
1698,275000
1699,275000
1700,180000
1701,275000
1702,275000
1703,275000
1704,275000
1705,275000
1706,315000
1707,180000
1708,180000
1709,315000
1710,275000
1711,275000
1712,275000
1713,180000
1714,180000
1715,180000
1716,170000
1717,180000
1718,140000
1719,180000
1720,275000
1721,180000
1722,145000
1723,145000
1724,180000
1725,180000
1726,171000
1727,140000
1728,180000
1729,136000
1730,136000
1731,145000
1732,139000
1733,145000
1734,145000
1735,127000
1736,139000
1737,315000
1738,132000
1739,180000
1740,140000
1741,140000
1742,140000
1743,180000
1744,168000
1745,180000
1746,275000
1747,170000
1748,136000
1749,145000
1750,140000
1751,242000
1752,139000
1753,145000
1754,180000
1755,140000
1756,81000
1757,135000
1758,90000
1759,139000
1760,139000
1761,145000
1762,139000
1763,171000
1764,145000
1765,140000
1766,171000
1767,110000
1768,135000
1769,170000
1770,110000
1771,145000
1772,145000
1773,90000
1774,115000
1775,136000
1776,145000
1777,139000
1778,127000
1779,145000
1780,242000
1781,139000
1782,95000
1783,135000
1784,86000
1785,135000
1786,90000
1787,143000
1788,60000
1789,135000
1790,95000
1791,140000
1792,136000
1793,113000
1794,134900
1795,171000
1796,171000
1797,140000
1798,139000
1799,135000
1800,145000
1801,81000
1802,136000
1803,140000
1804,135000
1805,171000
1806,110000
1807,140000
1808,127000
1809,127000
1810,139000
1811,97000
1812,145000
1813,135000
1814,97000
1815,35311
1816,127000
1817,80000
1818,136000
1819,136000
1820,84000
1821,171000
1822,136000
1823,58500
1824,171000
1825,135000
1826,145000
1827,139000
1828,139000
1829,145000
1830,171000
1831,132000
1832,67000
1833,140000
1834,136000
1835,180000
1836,171000
1837,97000
1838,136000
1839,145000
1840,145000
1841,145000
1842,60000
1843,139000
1844,140000
1845,145000
1846,140000
1847,145000
1848,35311
1849,90000
1850,145000
1851,136000
1852,139000
1853,145000
1854,170000
1855,140000
1856,180000
1857,135000
1858,145000
1859,145000
1860,145000
1861,145000
1862,180000
1863,180000
1864,180000
1865,315000
1866,315000
1867,275000
1868,275000
1869,180000
1870,275000
1871,275000
1872,140000
1873,180000
1874,135000
1875,180000
1876,140000
1877,180000
